Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
13863,30814014,Juarez,Apartment,Entire home/apt,2,1,1,1,918,300,1,29,0,flexible,1/5/2015,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,1218,1631
13864,30814267,Anzures,Apartment,Entire home/apt,4,2,2,2,994,574,30,0,0,flexible,12/13/2018,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,,1568,193
13865,30814974,Del Valle,House,Private room,1,1,1,1,229,0,1,30,9,flexible,5/9/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,,229,1141
13866,30815647,Tabacalera,House,Entire home/apt,2,1.5,1,1,1109,0,3,1,3,flexible,12/13/2018,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,,1109,193
13867,30816844,Narvarte,House,Private room,2,1,1,1,497,0,1,29,0,flexible,12/13/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,,497,193
13868,30817412,Peralvillo,Apartment,Private room,2,1,2,2,707,0,1,27,0,flexible,2/5/2017,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,,707,869
13870,30817683,Alamos,House,Private room,2,2.5,1,1,306,150,2,30,1,moderate,2/6/2017,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,456,868
13872,30818826,Del Valle,Apartment,Private room,2,1,1,1,344,0,1,18,15,flexible,4/29/2016,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,344,1151
13874,30820694,Escandon,Apartment,Entire home/apt,2,1,1,1,401,350,4,17,14,flexible,12/13/2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,751,193
13876,30823615,Polanco,Apartment,Entire home/apt,6,2,3,3,1701,600,2,6,20,strict,8/12/2011,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,,2301,2873
